Volcano Number,Latitude,Longitude,Elevation (m)
266110,1.352,124.865,1299
266120,1.454,125.031,1968
266130,1.518,125.185,1334
267010,2.3058,125.3671,703
267020,2.781,125.407,1797
267030,3.1463,125.4422,-5
267040,3.689,125.447,1318
268001,1.832,127.825,317
268010,1.6992,127.8783,1273
268020,1.63,127.67,1035
268030,1.488,127.63,1325
268040,1.38,127.53,1635
268050,1.2389,127.4556,979
268051,1.08,127.439,993
268052,0.9,127.32,630
268060,0.81,127.3322,1714
268061,0.6623,127.4029,1713
268062,0.57,127.4,308
268063,0.454,127.411,927
268070,0.32,127.4,1357
268071,0.07,127.42,422
268072,-0.5249,127.4956,1006
268073,-0.761,127.725,932
271011,6.113,124.892,1824
271020,6.3604,125.0765,2262
271031,7.382,126.047,1080
271040,7.644,124.317,1818
271060,7.691,124.507,2790
271070,7.8765,125.0697,610
271080,9.203,124.673,1552
272020,10.4096,123.13,2422
272050,10.285,125.218,912
272080,11.523,124.535,1301
273010,12.769,124.056,1535
273030,13.257,123.685,2462
273041,13.458,123.451,1138
273042,13.658,123.38,1966
273050,14.07,121.48,2158
273060,14.12,121.3,1090
273070,14.0106,120.9975,311
273083,15.13,120.35,1486
273090,18.222,122.123,1133
274010,18.83,121.86,712
274020,19.077,122.202,228
274030,19.524,121.95,1064
274060,20.469,122.01,1009
275001,19.905,110.229,196
275020,15.38,109.12,157
275060,10.158,109.014,-20
275080,20.92,95.25,1518
275110,25.23,98.5,2865
281031,24.841,121.953,361
281032,25.178,121.553,1120
282010,24.57,123.93,-200
282020,27.881,128.223,212
282021,28.797,128.997,495
282022,29.465,129.594,555
282030,29.638,129.714,796
282040,29.859,129.857,979
282043,29.968,129.926,628
282050,30.443,130.217,657
282060,30.793,130.305,704
282070,31.22,130.57,924
282080,31.5772,130.6589,1117
282081,31.771,130.592,40
282090,31.934,130.862,1700
282091,32.657,128.849,315
282100,32.761,130.299,1483
282110,32.8849,131.085,1592
282120,33.086,131.249,1791
282130,33.282,131.39,1584
283001,34.4833,131.5167,641
283002,35.141,132.622,1126
283010,34.9,139.098,1406
283020,35.233,139.021,1438
283030,35.361,138.728,3776
283031,36.087,138.32,2480
283040,35.893,137.48,3067
283050,36.155,136.771,2702
283060,36.106,137.554,3026
283069,36.2,137.573,2109
283070,36.227,137.587,2455
283080,36.571,137.59,2621
283090,36.921,138.036,2400
283100,36.891,138.114,2454
283110,36.406,138.523,2568
283120,36.618,138.528,2165
283121,36.688,138.519,2041
283122,36.477,138.851,1449
283130,36.56,139.193,1828
283131,36.955,139.285,2356
283140,36.799,139.376,2578
283141,36.765,139.491,2486
283142,36.8067,139.4756,2341
283143,36.9,139.777,1795
283150,37.125,139.963,1915
283151,37.444,139.566,835
283160,37.601,140.072,1816
283170,37.647,140.281,1728
283180,37.735,140.244,1949
283190,38.144,140.44,1841
283191,38.5992,140.1617,552
283200,38.729,140.734,470
283210,38.961,140.788,1627
283220,39.099,140.049,2236
283230,39.761,140.799,1637
283240,39.853,141.001,2038
283250,39.958,140.854,1613
283260,39.964,140.757,1366
283262,39.95,139.725,160
283270,40.656,140.303,1625
283271,40.51,140.88,1011
283280,40.659,140.877,1585
283290,41.279,141.12,878
284010,34.724,139.394,746
284011,34.52,139.279,508
284020,34.397,139.27,432
284030,34.219,139.153,572
284040,34.094,139.526,775
284041,33.874,139.602,851
284042,33.4,139.68,-114
284050,33.137,139.766,854
284060,32.458,139.759,423
284061,32.1,139.85,-360
284070,31.888,139.918,11
284080,31.44,140.051,136
284090,30.484,140.303,394
284091,29.794,140.342,99
284093,28.575,140.633,-991
284094,28.327,140.572,-933
284095,27.68,140.8,-590
284096,27.247,140.874,100
284097,26.667,140.929,-165
284100,26.1217,141.0955,-95
284110,25.424,141.284,792
284120,24.751,141.289,169
284121,24.417,141.417,-73
284130,24.285,141.481,-29
284131,23.5,141.935,-107
284132,23.078,142.326,-392
284133,21.93,143.47,-217
284134,21.765,143.71,-598
284135,21.6,143.637,-274
284136,21.485,144.043,-1535
284137,21.324,144.194,-323
284140,20.546,144.893,337
284141,20.42,145.03,-75
284142,20.13,145.1,-8
284143,20.02,145.22,227
284150,19.671,145.406,857
284160,18.77,145.67,965
284170,18.13,145.8,570
284180,17.6,145.83,744
284190,17.3137,145.84,232
284191,16.88,145.85,0
284192,16.708,145.78,538
284193,16.58,145.78,-184
284200,16.35,145.67,790
284201,15.93,145.67,-127
284202,15.605,145.572,-174
284210,14.958,145.249,-74
284211,14.601,144.775,-517
284220,13.4,143.92,-1456
284230,13.25,144.02,-1230
284305,15.406,144.506,-4100
285010,41.51,139.367,732
285011,41.805,141.166,618
285020,42.063,140.677,1131
285030,42.544,140.839,733
285031,42.875,140.659,1308
285032,42.827,140.812,1888
285034,42.491,141.16,549
285040,42.688,141.38,1320
285041,45.179,141.242,1721
285050,43.418,142.686,2077
285060,43.664,142.854,2291
285061,43.418,143.031,2013
285070,43.384,144.013,1499
285080,43.615,144.427,574
285081,43.572,144.561,857
285082,44.076,145.122,1660
285083,44.044,145.086,1046
285090,44.133,145.161,1562
290010,43.844,145.504,535
290020,43.979,145.733,882
290021,44.4541,146.1401,1447
290030,44.353,146.252,1822
290040,44.462,146.932,1221
290041,44.608,146.994,495
290050,44.808,147.131,1206
290060,44.857,147.403,1610
290061,45.022,147.019,-195
290070,45.012,147.871,1158
290072,45.028,147.918,1208
290080,45.1,148.019,1125
290090,45.338,147.92,1587
290100,45.389,148.838,1124
290110,45.5,148.85,1205
290111,45.7593,149.6762,1426
290112,45.874,149.819,532
290113,45.93,149.92,998
290120,46.042,150.083,1328
290150,46.532,150.871,742
290160,46.47,151.28,-502
290161,46.815,151.786,1504
290180,46.9178,151.9518,612
290190,47.0139,152.1167,1360
290191,47.12,152.25,678
290200,47.35,152.475,1172
290210,47.5125,152.8139,357
290211,47.5861,152.893,36
290220,47.77,153.02,956
290240,48.092,153.2,1496
290250,48.292,153.25,551
290260,48.98,153.48,724
290270,48.958,153.93,1170
290290,48.873,154.182,911
290300,49.12,154.508,1145
290310,49.34,154.725,1272
290320,49.57,154.808,1018
290331,50.2,154.98,761
290340,50.267,155.246,1742
290350,50.148,155.373,1326
290360,50.324,155.461,1781
290370,50.55,155.97,1183
290380,50.686,156.014,1103
290390,50.861,155.565,2285
300010,51.306,156.875,2116
300020,51.356,156.753,1822
300021,51.533,156.629,646
300022,51.452,156.978,1040
300023,51.45,157.12,81
300030,51.498,157.203,1555
300040,51.577,157.328,1926
300050,51.8042,157.5292,1007
300052,52.02,157.53,681
300053,52.062,157.711,2039
300058,52.355,157.827,1910
300059,52.435,157.9332,1227
300060,52.449,158.196,2288
300070,52.5549,158.0358,1799
300080,52.543,157.339,2439
300082,52.63,157.58,1021
300083,52.7,158.28,2173
300084,52.802,158.24,874
300090,53.321,158.712,3430
300100,53.256,158.836,2717
300110,53.637,158.922,2285
300120,53.589,159.15,2899
300121,53.7525,158.4478,520
300122,53.833,158.052,1150
300123,53.905,158.07,2278
300124,53.905,158.385,1567
300125,53.98,159.45,1180
300130,54.049,159.443,1513
300140,54.135,159.674,1527
300150,54.32,160.02,1720
300160,54.528,159.804,2301
300170,54.4885,159.9741,1617
300180,54.489,160.251,1515
300190,54.596,160.27,1816
300200,54.753,160.533,3482
300210,54.974,160.703,2539
300220,55.033,160.725,2065
300221,55.064,160.765,2129
300230,55.131,160.32,2334
300240,55.832,160.326,3611
300241,55.758,160.527,2886
300242,55.862,160.603,3057
300250,55.972,160.595,2882
300251,56.02,160.593,4585
300260,56.056,160.642,4754
