lon,lat,x,y,z,vp,vs,vp_vs_ratio
-83.783,11.177,-100.000,220.000,5.000,6.120,0.000,0.0000
-83.783,11.177,-100.000,220.000,9.000,6.120,0.000,0.0000
-83.783,11.177,-100.000,220.000,13.000,6.280,0.000,0.0000
-83.783,11.177,-100.000,220.000,16.000,6.460,0.000,0.0000
-83.783,11.177,-100.000,220.000,20.000,6.720,0.000,0.0000
-83.783,11.177,-100.000,220.000,25.000,7.010,0.000,0.0000
-83.783,11.177,-100.000,220.000,30.000,7.390,0.000,0.0000
-83.783,11.177,-100.000,220.000,35.000,7.550,0.000,0.0000
-83.783,11.177,-100.000,220.000,40.000,8.140,0.000,0.0000
-83.783,11.177,-100.000,220.000,50.000,8.140,0.000,0.0000
-83.783,11.177,-100.000,220.000,65.000,8.260,0.000,0.0000
-83.783,11.177,-100.000,220.000,90.000,8.260,0.000,0.0000
-83.783,11.177,-100.000,220.000,700.000,10.300,0.000,0.0000
-83.780,12.346,-100.000,350.000,-10.000,3.000,0.000,0.0000
-83.780,12.346,-100.000,350.000,0.000,5.350,0.000,0.0000
-83.780,12.346,-100.000,350.000,5.000,6.120,0.000,0.0000
-83.780,12.346,-100.000,350.000,9.000,6.120,0.000,0.0000
-83.780,12.346,-100.000,350.000,13.000,6.280,0.000,0.0000
-83.780,12.346,-100.000,350.000,16.000,6.460,0.000,0.0000
-83.780,12.346,-100.000,350.000,20.000,6.720,0.000,0.0000
-83.780,12.346,-100.000,350.000,25.000,7.010,0.000,0.0000
-83.780,12.346,-100.000,350.000,30.000,7.390,0.000,0.0000
-83.780,12.346,-100.000,350.000,35.000,7.550,0.000,0.0000
-83.780,12.346,-100.000,350.000,40.000,8.140,0.000,0.0000
-83.780,12.346,-100.000,350.000,50.000,8.140,0.000,0.0000
-83.780,12.346,-100.000,350.000,65.000,8.260,0.000,0.0000
-83.780,12.346,-100.000,350.000,90.000,8.260,0.000,0.0000
-83.780,12.346,-100.000,350.000,700.000,10.300,0.000,0.0000
-84.700,8.301,0.000,-100.000,-10.000,3.000,0.000,0.0000
