# Vertices from mesh.e
# Format: Node_ID X Y [Z]
# Number of nodes: 9648
573 119624.890625 127156.109375 -9130.822266
574 120308.359375 124766.453125 -9084.080078
575 121027.343750 122380.375000 -9044.795898
576 121782.000000 120000.000000 -9039.770508
577 61693.128906 457500.968750 -7239.276367
578 61817.226562 460000.000000 -7154.421387
579 61570.578125 455002.343750 -7313.507324
580 61433.609375 452504.687500 -7420.939453
581 61286.152344 450008.406250 -7515.285156
582 61120.128906 447510.125000 -7603.891113
583 60933.289062 445013.250000 -7698.173340
584 60719.917969 442514.687500 -7785.327148
585 60485.464844 440017.750000 -7838.787598
586 60219.722656 437522.937500 -7888.888672
587 59913.929688 435034.031250 -7936.838379
588 59572.250000 432550.468750 -7978.287598
589 59210.277344 430069.656250 -8013.238281
590 58834.519531 427596.906250 -8039.363281
591 58465.480469 425129.343750 -8062.221191
592 58072.960938 422665.218750 -8082.769043
593 57684.914062 420201.125000 -8105.053711
594 57299.636719 417735.562500 -8127.522461
595 56913.460938 415265.906250 -8148.646973
596 56539.832031 412792.937500 -8172.616699
597 56196.648438 410311.687500 -8192.036133
598 55873.042969 407828.718750 -8222.933594
599 55571.109375 405339.343750 -8255.780273
600 55290.789062 402848.781250 -8285.175781
601 55026.261719 400355.500000 -8311.978516
602 54776.433594 397861.375000 -8346.044922
603 54539.179688 395363.062500 -8384.388672
604 54319.234375 392863.281250 -8412.907227
605 54104.812500 390360.406250 -8433.186523
606 53904.027344 387859.593750 -8436.701172
607 53712.316406 385361.562500 -8449.654297
608 53536.675781 382863.093750 -8472.591797
609 53373.820312 380364.843750 -8509.741211
610 53221.503906 377864.468750 -8540.338867
611 53086.300781 375365.281250 -8565.724609
612 52950.570312 372868.937500 -8579.228516
613 52839.121094 370366.750000 -8594.162109
614 52733.109375 367862.187500 -8598.289062
615 52622.902344 365362.750000 -8572.974609
616 52529.765625 362865.250000 -8542.919922
617 52453.734375 360378.250000 -8510.619141
618 52391.613281 357905.625000 -8490.187500
619 52357.617188 355437.281250 -8489.989258
620 52324.250000 352972.062500 -8464.352539
621 52350.328125 350494.437500 -8420.546875
622 52409.726562 348007.031250 -8408.555664
623 52539.738281 345535.093750 -8282.449219
624 52699.242188 343072.781250 -8192.078125
625 52947.113281 340618.687500 -8129.106445
626 53256.636719 338161.156250 -8056.777344
627 53590.230469 335725.500000 -8029.120605
628 53934.531250 333287.875000 -8001.350586
629 54349.949219 330804.687500 -7975.750488
630 54778.128906 328299.156250 -7926.339355
631 55216.339844 325820.531250 -7836.430176
632 55630.089844 323386.250000 -7745.222656
633 56046.226562 320979.812500 -7674.905762
634 56474.824219 318565.312500 -7639.410645
635 56917.292969 316142.125000 -7626.698730
636 57356.167969 313702.500000 -7619.420898
637 57781.136719 311260.968750 -7611.333496
638 58227.648438 308825.531250 -7602.387695
639 58697.964844 306386.375000 -7607.423828
640 59217.324219 303956.250000 -7611.385254
641 59737.398438 301519.750000 -7615.733398
642 60288.777344 299109.968750 -7629.456543
643 60858.035156 296701.156250 -7644.806152
644 61464.574219 294287.687500 -7667.746094
645 62115.023438 291839.750000 -7683.825195
646 62932.253906 289464.406250 -7712.695801
647 63941.980469 287265.593750 -7763.212402
648 65316.867188 285358.781250 -7872.509766
649 66855.656250 283620.125000 -8016.906250
650 68572.546875 281862.062500 -8206.114258
651 70337.015625 280044.281250 -8417.085938
652 72040.062500 278194.500000 -8624.778320
653 73966.937500 276627.625000 -8834.674805
654 75785.835938 275031.562500 -9026.975586
655 77563.648438 273497.687500 -9223.219727
656 78375.015625 271372.187500 -9318.915039
657 78839.703125 268935.937500 -9382.660156
658 79337.148438 266488.812500 -9438.787109
