"ids","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2"
636,68122,2.7648e+05,-8287.7
637,70074,2.7492e+05,-8494
638,72007,2.7337e+05,-8675.7
639,72900,2.7124e+05,-8757.2
640,73383,2.6882e+05,-8803
641,73890,2.6639e+05,-8860.5
642,74405,2.6395e+05,-8925.8
643,75005,2.6152e+05,-8998.1
644,75662,2.591e+05,-9036.7
645,76346,2.5669e+05,-9050.1
646,77003,2.5428e+05,-9032.6
647,77642,2.5186e+05,-8992.5
648,77975,2.4944e+05,-8927.9
649,78119,2.4694e+05,-8859.9
650,78260,2.4441e+05,-8789
651,78382,2.419e+05,-8709.4
652,78500,2.3944e+05,-8629.9
653,78633,2.3697e+05,-8570
654,78866,2.3447e+05,-8524.5
655,80052,2.3231e+05,-8548.9
656,81580,2.3038e+05,-8610.9
657,83025,2.2837e+05,-8684.6
658,84359,2.2625e+05,-8764.2
659,85582,2.2409e+05,-8863.6
660,86744,2.2184e+05,-8974
661,87694,2.196e+05,-9081.2
662,88610,2.1726e+05,-9212.8
663,89481,2.1493e+05,-9361.3
664,90303,2.1256e+05,-9519.2
665,91102,2.102e+05,-9683.3
666,91885,2.0786e+05,-9853.8
667,92692,2.0552e+05,-10059
668,93484,2.0318e+05,-10300
669,94237,2.0077e+05,-10513
670,95041,1.9839e+05,-10673
671,95846,1.9599e+05,-10781
672,96649,1.9358e+05,-10812
673,97436,1.9118e+05,-10785
674,98182,1.8879e+05,-10682
675,98931,1.8643e+05,-10548
676,99631,1.8407e+05,-10384
677,1.0031e+05,1.8174e+05,-10266
678,1.0102e+05,1.7936e+05,-10185
679,1.0175e+05,1.7695e+05,-10091
680,1.0248e+05,1.7456e+05,-9975.7
681,1.0323e+05,1.7218e+05,-9866.2
682,1.04e+05,1.698e+05,-9789
683,1.048e+05,1.6741e+05,-9752.5
684,1.056e+05,1.6505e+05,-9717.7
685,1.0642e+05,1.6269e+05,-9691.4
686,1.0724e+05,1.6034e+05,-9684.7
687,1.0807e+05,1.5799e+05,-9674.7
688,1.0892e+05,1.5564e+05,-9633.3
689,1.0977e+05,1.533e+05,-9559
690,1.1062e+05,1.5096e+05,-9457.6
691,1.1146e+05,1.4861e+05,-9305.9
692,1.1227e+05,1.4624e+05,-9158.9
693,1.1305e+05,1.4387e+05,-9079.7
694,1.1379e+05,1.4149e+05,-9057.2
695,1.145e+05,1.3911e+05,-9056.2
696,1.1521e+05,1.3672e+05,-9048.2
697,1.159e+05,1.3433e+05,-9038
698,1.1658e+05,1.3194e+05,-9010.8
699,1.1726e+05,1.2955e+05,-8948.4
700,1.1795e+05,1.2715e+05,-8891.7
701,1.1865e+05,1.2477e+05,-8823.1
702,1.1936e+05,1.2238e+05,-8792.8
147,1.2011e+05,1.2e+05,-8752.4
703,58061,4.575e+05,-6990.3
356,58178,4.6e+05,-6915.7
704,57945,4.55e+05,-7062.6
705,57819,4.525e+05,-7127.7
706,57682,4.5e+05,-7189.7
707,57525,4.475e+05,-7253.7
708,57350,4.45e+05,-7327.2
709,57146,4.425e+05,-7396.9
710,56915,4.4001e+05,-7464.7
711,56651,4.3751e+05,-7531.3
712,56344,4.3502e+05,-7579.8
713,55997,4.3254e+05,-7613.7
714,55631,4.3006e+05,-7640.9
715,55250,4.2759e+05,-7675.5
716,54873,4.2512e+05,-7712.6
717,54474,4.2266e+05,-7746.6
718,54076,4.2019e+05,-7783
719,53681,4.1773e+05,-7811.8
720,53287,4.1525e+05,-7825.9
721,52906,4.1278e+05,-7828.7
722,52555,4.103e+05,-7828.8
723,52222,4.0782e+05,-7847.2
724,51910,4.0533e+05,-7874.7
725,51615,4.0284e+05,-7906.4
726,51338,4.0035e+05,-7927.4
727,51076,3.9785e+05,-7952.2
728,50830,3.9535e+05,-7971.7
729,50604,3.9285e+05,-7982.6
730,50391,3.9035e+05,-7975.2
731,50196,3.8785e+05,-7955.9
732,50015,3.8535e+05,-7934.2
733,49842,3.8285e+05,-7931
734,49687,3.8035e+05,-7906.9
735,49539,3.7785e+05,-7896.4
736,49410,3.7535e+05,-7878.8
737,49290,3.7285e+05,-7845.5
738,49183,3.7035e+05,-7815.6
739,49087,3.6785e+05,-7767.8
740,49000,3.6535e+05,-7706.8
741,48926,3.6285e+05,-7636.7
742,48856,3.6036e+05,-7575.9
743,48787,3.5787e+05,-7523.2
744,48731,3.554e+05,-7480.1
745,48690,3.5293e+05,-7449.3
746,48685,3.5045e+05,-7415.8
747,48717,3.4797e+05,-7375.2
748,48817,3.455e+05,-7338.9
749,48976,3.4304e+05,-7333.3
750,49207,3.4057e+05,-7320.3
751,49485,3.3809e+05,-7334
752,49811,3.3562e+05,-7349.3
753,50200,3.3317e+05,-7401
754,50628,3.307e+05,-7450.7
755,51092,3.282e+05,-7479.8
756,51598,3.2572e+05,-7484.8
757,52131,3.2326e+05,-7436.1
758,52649,3.2085e+05,-7400.5
759,53146,3.1843e+05,-7378.1
760,53636,3.1601e+05,-7373.3
761,54136,3.1356e+05,-7376.2
762,54619,3.1111e+05,-7356.3
763,55102,3.0868e+05,-7332.2
764,55577,3.0625e+05,-7314.7
765,56092,3.0383e+05,-7314.4
766,56645,3.014e+05,-7330.6
767,57200,2.9898e+05,-7348.8
768,57768,2.9657e+05,-7365.9
769,58370,2.9415e+05,-7392
770,59049,2.9171e+05,-7420.2
771,59880,2.8933e+05,-7445.7
772,60899,2.8714e+05,-7493.9
773,62260,2.8524e+05,-7588.7
774,63805,2.8351e+05,-7725.1
775,65557,2.8175e+05,-7910.3
776,67345,2.7996e+05,-8118.2
777,69077,2.7812e+05,-8335.9
778,71053,2.7655e+05,-8557.2
779,72961,2.7497e+05,-8755.5
780,74794,2.7343e+05,-8931
781,75641,2.7131e+05,-9015.6
782,76100,2.6888e+05,-9072.1
783,76596,2.6644e+05,-9132.5
784,77113,2.6401e+05,-9198.8
785,77693,2.6154e+05,-9259.1
786,78352,2.5913e+05,-9290.9
787,79015,2.5672e+05,-9291.9
788,79644,2.5432e+05,-9259.9
789,80260,2.5193e+05,-9219.2
790,80595,2.4949e+05,-9158.1
791,80728,2.4699e+05,-9080.6
792,80858,2.4446e+05,-8997.2
793,80966,2.4195e+05,-8907.7
794,81063,2.3949e+05,-8815.4
795,81199,2.3703e+05,-8749.4
796,81425,2.3455e+05,-8698.9
797,82586,2.3238e+05,-8737.8
798,84079,2.3045e+05,-8815.3
799,85517,2.2841e+05,-8907
800,86828,2.2629e+05,-8999.3
801,88027,2.2411e+05,-9093.4
802,89170,2.2188e+05,-9205.7
803,90137,2.1963e+05,-9310.8
804,91032,2.1729e+05,-9450
805,91890,2.1496e+05,-9598
806,92706,2.1259e+05,-9756.1
807,93495,2.1024e+05,-9920.8
808,94248,2.0791e+05,-10096
809,95035,2.0555e+05,-10316
810,95794,2.0322e+05,-10564
811,96547,2.0082e+05,-10801
812,97320,1.984e+05,-10979
813,98114,1.9598e+05,-11080
814,98896,1.9357e+05,-11095
815,99663,1.9115e+05,-11033
816,1.0042e+05,1.8877e+05,-10899
817,1.0113e+05,1.8643e+05,-10725
818,1.018e+05,1.8409e+05,-10559
819,1.0247e+05,1.8176e+05,-10452
820,1.0319e+05,1.7938e+05,-10368
821,1.0391e+05,1.7698e+05,-10271
822,1.0464e+05,1.7459e+05,-10166
823,1.0537e+05,1.722e+05,-10070
824,1.0612e+05,1.6981e+05,-10004
825,1.0689e+05,1.6743e+05,-9958.3
826,1.0767e+05,1.6506e+05,-9932.9
827,1.0847e+05,1.6271e+05,-9924.2
828,1.0928e+05,1.6035e+05,-9928.1
829,1.101e+05,1.58e+05,-9913.7
830,1.1093e+05,1.5566e+05,-9886.3
831,1.1177e+05,1.5331e+05,-9817.7
832,1.1259e+05,1.5097e+05,-9712.4
833,1.134e+05,1.4862e+05,-9576.1
834,1.1419e+05,1.4625e+05,-9440.8
835,1.1494e+05,1.4387e+05,-9382.2
836,1.1564e+05,1.4149e+05,-9365
837,1.1632e+05,1.3911e+05,-9357.3
838,1.1699e+05,1.3672e+05,-9339.3
839,1.1765e+05,1.3433e+05,-9299.6
840,1.1831e+05,1.3194e+05,-9257.4
841,1.1896e+05,1.2955e+05,-9192.9
842,1.1962e+05,1.2716e+05,-9130.8
843,1.2031e+05,1.2477e+05,-9084.1
844,1.2103e+05,1.2238e+05,-9044.8
148,1.2178e+05,1.2e+05,-9039.8
845,61693,4.575e+05,-7239.3
357,61817,4.6e+05,-7154.4
846,61571,4.55e+05,-7313.5
847,61434,4.525e+05,-7420.9
848,61286,4.5001e+05,-7515.3
849,61120,4.4751e+05,-7603.9
850,60933,4.4501e+05,-7698.2
851,60720,4.4251e+05,-7785.3
852,60485,4.4002e+05,-7838.8
853,60220,4.3752e+05,-7888.9
854,59914,4.3503e+05,-7936.8
855,59572,4.3255e+05,-7978.3
856,59210,4.3007e+05,-8013.2
857,58835,4.276e+05,-8039.4
858,58465,4.2513e+05,-8062.2
859,58073,4.2267e+05,-8082.8
860,57685,4.202e+05,-8105.1
861,57300,4.1774e+05,-8127.5
862,56913,4.1527e+05,-8148.6
863,56540,4.1279e+05,-8172.6
864,56197,4.1031e+05,-8192
865,55873,4.0783e+05,-8222.9
866,55571,4.0534e+05,-8255.8
867,55291,4.0285e+05,-8285.2
868,55026,4.0036e+05,-8312
869,54776,3.9786e+05,-8346
870,54539,3.9536e+05,-8384.4
871,54319,3.9286e+05,-8412.9
872,54105,3.9036e+05,-8433.2
873,53904,3.8786e+05,-8436.7
874,53712,3.8536e+05,-8449.7
875,53537,3.8286e+05,-8472.6
876,53374,3.8036e+05,-8509.7
877,53222,3.7786e+05,-8540.3
878,53086,3.7537e+05,-8565.7
879,52951,3.7287e+05,-8579.2
880,52839,3.7037e+05,-8594.2
881,52733,3.6786e+05,-8598.3
882,52623,3.6536e+05,-8573
883,52530,3.6287e+05,-8542.9
884,52454,3.6038e+05,-8510.6
885,52392,3.5791e+05,-8490.2
886,52358,3.5544e+05,-8490
887,52324,3.5297e+05,-8464.4
888,52350,3.5049e+05,-8420.5
889,52410,3.4801e+05,-8408.6
890,52540,3.4554e+05,-8282.4
891,52699,3.4307e+05,-8192.1
892,52947,3.4062e+05,-8129.1
893,53257,3.3816e+05,-8056.8
894,53590,3.3573e+05,-8029.1
895,53935,3.3329e+05,-8001.4
896,54350,3.308e+05,-7975.8
897,54778,3.283e+05,-7926.3
898,55216,3.2582e+05,-7836.4
899,55630,3.2339e+05,-7745.2
900,56046,3.2098e+05,-7674.9
901,56475,3.1857e+05,-7639.4
902,56917,3.1614e+05,-7626.7
903,57356,3.137e+05,-7619.4
904,57781,3.1126e+05,-7611.3
905,58228,3.0883e+05,-7602.4
906,58698,3.0639e+05,-7607.4
907,59217,3.0396e+05,-7611.4
908,59737,3.0152e+05,-7615.7
909,60289,2.9911e+05,-7629.5
910,60858,2.967e+05,-7644.8
911,61465,2.9429e+05,-7667.7
912,62115,2.9184e+05,-7683.8
913,62932,2.8946e+05,-7712.7
914,63942,2.8727e+05,-7763.2
915,65317,2.8536e+05,-7872.5
916,66856,2.8362e+05,-8016.9
917,68573,2.8186e+05,-8206.1
918,70337,2.8004e+05,-8417.1
919,72040,2.7819e+05,-8624.8
920,73967,2.7663e+05,-8834.7
921,75786,2.7503e+05,-9027
922,77564,2.735e+05,-9223.2
923,78375,2.7137e+05,-9318.9
924,78840,2.6894e+05,-9382.7
925,79337,2.6649e+05,-9438.8
926,79839,2.6403e+05,-9497.1
927,80406,2.6158e+05,-9545.6
928,81043,2.5915e+05,-9562.7
929,81676,2.5676e+05,-9550.7
930,82277,2.5437e+05,-9515.9
931,82894,2.5199e+05,-9482.4
932,83223,2.4955e+05,-9416.5
933,83354,2.4704e+05,-9324.1
934,83471,2.4451e+05,-9232.9
935,83550,2.4202e+05,-9132.6
936,83627,2.3956e+05,-9039.5
937,83738,2.3709e+05,-8964.4
938,83953,2.3461e+05,-8910.3
939,85096,2.3244e+05,-8963.4
940,86563,2.305e+05,-9063.3
941,87980,2.2845e+05,-9162.5
942,89274,2.263e+05,-9266.3
943,90474,2.2412e+05,-9362
944,91612,2.219e+05,-9465.4
945,92567,2.1966e+05,-9574.5
946,93433,2.1733e+05,-9708.9
947,94269,2.1498e+05,-9860.5
948,95078,2.1259e+05,-10019
949,95833,2.1026e+05,-10169
950,96575,2.0795e+05,-10365
951,97332,2.0559e+05,-10597
952,98067,2.0325e+05,-10862
953,98807,2.0085e+05,-11108
954,99563,1.9842e+05,-11286
955,1.0033e+05,1.9597e+05,-11374
956,1.0112e+05,1.9356e+05,-11369
957,1.0188e+05,1.9114e+05,-11278
958,1.0261e+05,1.8875e+05,-11109
959,1.0329e+05,1.8645e+05,-10923
960,1.0394e+05,1.8412e+05,-10760
961,1.0462e+05,1.8178e+05,-10650
962,1.0535e+05,1.794e+05,-10560
963,1.0604e+05,1.7701e+05,-10463
964,1.0676e+05,1.7462e+05,-10370
965,1.0746e+05,1.7223e+05,-10287
966,1.0819e+05,1.6983e+05,-10236
967,1.0894e+05,1.6745e+05,-10195
968,1.0971e+05,1.6508e+05,-10186
969,1.105e+05,1.6272e+05,-10167
970,1.1129e+05,1.6036e+05,-10170
971,1.121e+05,1.5801e+05,-10158
972,1.129e+05,1.5567e+05,-10138
973,1.1371e+05,1.5332e+05,-10078
